IP地址,端口,TLS,数据中心,地区,城市,网络延迟,下载速度
67.230.183.31,443,TRUE,LAX,北美洲,美国洛杉矶,142 ms,44951 kB/s
45.78.31.235,30448,TRUE,HKG,亚太,香港,54 ms,42279 kB/s
74.82.211.250,443,TRUE,NRT,亚太,日本东京,47 ms,41739 kB/s
93.179.124.44,20136,TRUE,HKG,亚太,香港,56 ms,41222 kB/s
192.69.93.115,50080,TRUE,LAX,北美洲,美国洛杉矶,145 ms,37352 kB/s
45.78.25.182,443,TRUE,HKG,亚太,香港,60 ms,36373 kB/s
104.224.154.154,443,TRUE,LAX,北美洲,美国洛杉矶,144 ms,36249 kB/s
173.242.113.174,8012,TRUE,LAX,北美洲,美国洛杉矶,146 ms,34276 kB/s
74.82.199.200,10344,TRUE,NRT,亚太,日本东京,48 ms,33574 kB/s
104.225.234.22,443,TRUE,LAX,北美洲,美国洛杉矶,177 ms,31465 kB/s
23.106.143.52,443,TRUE,KIX,亚太,大阪,82 ms,29138 kB/s
212.50.253.184,33033,TRUE,KIX,亚太,大阪,87 ms,28869 kB/s
65.49.205.213,443,TRUE,LAX,北美洲,美国洛杉矶,208 ms,28744 kB/s
23.106.131.104,6060,TRUE,KIX,亚太,大阪,86 ms,26904 kB/s
192.243.118.41,443,TRUE,LAX,北美洲,美国洛杉矶,146 ms,26857 kB/s
89.208.249.11,49899,TRUE,LAX,北美洲,美国洛杉矶,145 ms,16336 kB/s
173.242.124.244,9015,TRUE,LAX,北美洲,美国洛杉矶,147 ms,15659 kB/s
89.208.253.100,443,TRUE,LAX,北美洲,美国洛杉矶,147 ms,15256 kB/s
74.211.106.65,443,TRUE,LAX,北美洲,美国洛杉矶,143 ms,15107 kB/s
104.194.86.60,587,TRUE,LAX,北美洲,美国洛杉矶,141 ms,15071 kB/s
104.194.89.178,12345,TRUE,LAX,北美洲,美国洛杉矶,143 ms,15065 kB/s
64.64.244.245,10068,TRUE,LAX,北美洲,美国洛杉矶,141 ms,15048 kB/s
173.242.114.187,19800,TRUE,LAX,北美洲,美国洛杉矶,142 ms,15007 kB/s
144.34.236.165,10152,TRUE,LAX,北美洲,美国洛杉矶,149 ms,14974 kB/s
23.106.152.125,443,TRUE,LAX,北美洲,美国洛杉矶,141 ms,14971 kB/s
74.211.108.50,10437,TRUE,LAX,北美洲,美国洛杉矶,146 ms,14911 kB/s
80.251.215.99,443,TRUE,LAX,北美洲,美国洛杉矶,158 ms,14907 kB/s
80.251.222.170,443,TRUE,LAX,北美洲,美国洛杉矶,142 ms,14878 kB/s
192.243.114.127,12121,TRUE,LAX,北美洲,美国洛杉矶,150 ms,14877 kB/s
173.242.119.243,23333,TRUE,LAX,北美洲,美国洛杉矶,145 ms,14776 kB/s
45.62.117.157,443,TRUE,LAX,北美洲,美国洛杉矶,141 ms,14774 kB/s
64.64.227.13,2346,TRUE,LAX,北美洲,美国洛杉矶,141 ms,14752 kB/s
104.194.81.150,443,TRUE,LAX,北美洲,美国洛杉矶,146 ms,14751 kB/s
104.194.82.58,443,TRUE,LAX,北美洲,美国洛杉矶,144 ms,14725 kB/s
144.34.231.104,32779,TRUE,LAX,北美洲,美国洛杉矶,153 ms,14714 kB/s
173.242.123.189,51042,TRUE,LAX,北美洲,美国洛杉矶,143 ms,14714 kB/s
192.243.114.104,2054,TRUE,LAX,北美洲,美国洛杉矶,142 ms,14711 kB/s
64.64.224.83,10203,TRUE,LAX,北美洲,美国洛杉矶,147 ms,14706 kB/s
104.224.158.96,443,TRUE,LAX,北美洲,美国洛杉矶,150 ms,14670 kB/s
64.64.252.50,27911,TRUE,LAX,北美洲,美国洛杉矶,142 ms,14666 kB/s
89.208.247.199,443,TRUE,LAX,北美洲,美国洛杉矶,142 ms,14660 kB/s
67.230.179.73,2201,TRUE,LAX,北美洲,美国洛杉矶,146 ms,14633 kB/s
199.193.127.46,443,TRUE,LAX,北美洲,美国洛杉矶,141 ms,14606 kB/s
64.64.242.25,443,TRUE,LAX,北美洲,美国洛杉矶,140 ms,14554 kB/s
178.157.50.221,8001,TRUE,LAX,北美洲,美国洛杉矶,141 ms,14509 kB/s
144.34.230.39,443,TRUE,LAX,北美洲,美国洛杉矶,147 ms,14484 kB/s
67.230.181.61,27964,TRUE,LAX,北美洲,美国洛杉矶,144 ms,14469 kB/s
104.194.67.129,587,TRUE,LAX,北美洲,美国洛杉矶,145 ms,14458 kB/s
104.194.82.107,443,TRUE,LAX,北美洲,美国洛杉矶,146 ms,14446 kB/s
67.230.180.33,11000,TRUE,LAX,北美洲,美国洛杉矶,150 ms,14416 kB/s
104.224.154.190,20086,TRUE,LAX,北美洲,美国洛杉矶,146 ms,14347 kB/s
104.194.83.67,10177,TRUE,LAX,北美洲,美国洛杉矶,141 ms,14344 kB/s
178.157.50.134,443,TRUE,LAX,北美洲,美国洛杉矶,145 ms,14324 kB/s
80.251.215.244,443,TRUE,LAX,北美洲,美国洛杉矶,149 ms,14307 kB/s
199.19.107.134,32793,TRUE,LAX,北美洲,美国洛杉矶,142 ms,14267 kB/s
45.62.127.160,10443,TRUE,LAX,北美洲,美国洛杉矶,142 ms,14266 kB/s
23.105.220.138,1004,TRUE,LAX,北美洲,美国洛杉矶,149 ms,14259 kB/s
95.181.189.177,443,TRUE,LAX,北美洲,美国洛杉矶,147 ms,14233 kB/s
23.106.154.209,9418,TRUE,LAX,北美洲,美国洛杉矶,154 ms,14222 kB/s
104.194.86.235,443,TRUE,LAX,北美洲,美国洛杉矶,143 ms,14220 kB/s
144.34.230.153,9003,TRUE,LAX,北美洲,美国洛杉矶,145 ms,14061 kB/s
192.243.119.121,443,TRUE,LAX,北美洲,美国洛杉矶,147 ms,14034 kB/s
216.24.177.186,10012,TRUE,LAX,北美洲,美国洛杉矶,144 ms,14019 kB/s
95.181.190.20,443,TRUE,LAX,北美洲,美国洛杉矶,133 ms,13983 kB/s
104.194.83.67,30000,TRUE,LAX,北美洲,美国洛杉矶,142 ms,13855 kB/s
95.181.188.10,443,TRUE,LAX,北美洲,美国洛杉矶,144 ms,13828 kB/s
144.34.233.47,443,TRUE,LAX,北美洲,美国洛杉矶,141 ms,13822 kB/s
104.194.68.16,25222,TRUE,LAX,北美洲,美国洛杉矶,145 ms,13820 kB/s
104.224.157.77,20001,TRUE,LAX,北美洲,美国洛杉矶,148 ms,13812 kB/s
144.34.228.143,443,TRUE,LAX,北美洲,美国洛杉矶,144 ms,13801 kB/s
67.230.171.5,443,TRUE,LAX,北美洲,美国洛杉矶,146 ms,13790 kB/s
104.194.66.137,443,TRUE,LAX,北美洲,美国洛杉矶,144 ms,13724 kB/s
107.182.17.246,443,TRUE,LAX,北美洲,美国洛杉矶,149 ms,13703 kB/s
104.194.86.106,9443,TRUE,LAX,北美洲,美国洛杉矶,143 ms,13687 kB/s
64.64.249.39,587,TRUE,LAX,北美洲,美国洛杉矶,145 ms,13666 kB/s
144.168.56.250,1103,TRUE,LAX,北美洲,美国洛杉矶,158 ms,13659 kB/s
104.224.157.81,443,TRUE,LAX,北美洲,美国洛杉矶,147 ms,13606 kB/s
74.211.103.112,443,TRUE,LAX,北美洲,美国洛杉矶,131 ms,13541 kB/s
144.34.227.210,33473,TRUE,LAX,北美洲,美国洛杉矶,142 ms,13406 kB/s
199.19.111.248,443,TRUE,LAX,北美洲,美国洛杉矶,146 ms,13357 kB/s
104.224.157.64,49200,TRUE,LAX,北美洲,美国洛杉矶,144 ms,13322 kB/s
144.34.235.253,16606,TRUE,LAX,北美洲,美国洛杉矶,142 ms,13299 kB/s
216.24.178.170,443,TRUE,LAX,北美洲,美国洛杉矶,140 ms,13269 kB/s
97.64.120.46,443,TRUE,LAX,北美洲,美国洛杉矶,195 ms,13162 kB/s
199.19.110.221,443,TRUE,LAX,北美洲,美国洛杉矶,143 ms,13085 kB/s
45.62.104.107,443,TRUE,LAX,北美洲,美国洛杉矶,208 ms,12993 kB/s
67.230.173.3,7523,TRUE,LAX,北美洲,美国洛杉矶,144 ms,12716 kB/s
23.105.220.235,9306,TRUE,LAX,北美洲,美国洛杉矶,166 ms,12686 kB/s
173.242.123.19,18443,TRUE,LAX,北美洲,美国洛杉矶,142 ms,12623 kB/s
45.62.115.203,1103,TRUE,LAX,北美洲,美国洛杉矶,147 ms,12296 kB/s
45.62.119.89,51443,TRUE,LAX,北美洲,美国洛杉矶,142 ms,11993 kB/s
162.211.229.55,49200,TRUE,AMS,欧洲,荷兰阿姆斯特丹,164 ms,11881 kB/s
104.194.87.63,40001,TRUE,LAX,北美洲,美国洛杉矶,143 ms,11879 kB/s
162.211.228.167,11443,TRUE,AMS,欧洲,荷兰阿姆斯特丹,154 ms,11742 kB/s
80.251.215.204,443,TRUE,LAX,北美洲,美国洛杉矶,148 ms,11704 kB/s
198.181.38.68,5710,TRUE,LAX,北美洲,美国洛杉矶,171 ms,11695 kB/s
172.93.32.131,23077,TRUE,YVR,北美洲,Vancouver,167 ms,11527 kB/s
162.211.230.85,99,TRUE,WAW,欧洲,波兰华沙,154 ms,11484 kB/s
199.168.139.201,443,TRUE,LAX,北美洲,美国洛杉矶,146 ms,11466 kB/s
162.211.228.67,443,TRUE,AMS,欧洲,荷兰阿姆斯特丹,152 ms,11389 kB/s
64.64.227.102,449,TRUE,LAX,北美洲,美国洛杉矶,143 ms,11326 kB/s
162.211.231.225,3443,TRUE,AMS,欧洲,荷兰阿姆斯特丹,157 ms,11215 kB/s
104.243.20.184,443,TRUE,LAX,北美洲,美国洛杉矶,189 ms,11045 kB/s
173.242.126.172,1002,TRUE,LAX,北美洲,美国洛杉矶,142 ms,11040 kB/s
162.211.228.36,33013,TRUE,AMS,欧洲,荷兰阿姆斯特丹,155 ms,11040 kB/s
23.105.195.30,443,TRUE,LAX,北美洲,美国洛杉矶,144 ms,11040 kB/s
